id,description_clean,score_final,label_predit,rules_details,nb_emojis,nb_alert_emojis,label_humain,notes
2872,pour courte durée un bel appartement meublé s 1 mis à la location sis dans une belle résidence proche de la clinique hamilcar plus d'infos tél 52 145 909 / 29 688 687 prix 90 dt / jour 630 dt / semaine pour plus d'informations et de photos veuillez visiter notre page facebook l'intégrale immo ou contactez le 70 215 880 / 52 145 909 / 21 001 320,0.24,neutre_positif,contacts_multiples,0,0,neutre_positif,
687,"Description L'agence immobilière Century 21 Prestige vous propose pour la location un bureau Hall 5 situé au Lac 1. Il se compose de : Cinq Bureaux Deux points d'eau Une kitchenette Climatisation en Split Deux Places de parking au sous-sol Pour plus d'informations ou pour organiser une visite, n'hésitez pas à nous contacter : 216 20 09 20 00 / 216 52 101 374 prestige century21.tn",0.261,neutre_positif,absence_prix_bien_cher,1,0,neutre_positif,
1780,"369 univers.a.i, agence immobilière située à la marsa, vous propose à la location un appartement meublé avec terrasse à gammarth. il est composé comme suit: - un salon, une cuisine ouverte avec coin repas, une salle de bain, deux chambres à coucher et une terrasse. cet appartement est richement équipé dans une petite résidence privée. location courte durée seulement offre exclusive minimum de nuitée 7jrs 150dt/nuitée",0.021,positif,aucun,0,0,positif,
82,"Description IMMEUBLE CORPORATE D'EXCEPTION CENTRE VILLE- LAFAYETTE : IMMEUBLE A LOUERL'Agence Mon_Réseau Immobilier vous propse a la location un immeuble R 5 Idéal pour : siège de société, Banqye, Assurance, centre médical, clinique, école privée, centre de formation ou administration. Emplacement stratégique grande visibilité Immeuble spacieux et fonctionnel, parfaitement adapté aux grandes structures.Implantez votre projet dans un immeuble prestigieux, alliant visibilité, confort et organisation optimale.- Superficie : 2 350 m²- 55 bureaux modernes- 20 points d'eau- Climatisation centralisée chaud / froid- Ascenseur- Parking sous solPRIX DU LOYER SUR DEMANDE Opportunité rare sur le marché pour investisseurs et grandes enseignes.Pour de plus amples informations veuillez contacter notre conseillère en immobilier : Téléphone : 216 53 728 138 WhatsApp : 216 53 728 138 E-mail : monreseau.immo outlook.com",0.359,neutre_positif,pression_achat|emojis_excessifs,8,0,neutre_positif,
1684,Description New Key La Marsa vous propose à la location un local commercial situé dans une zone populaire et dynamique à la Marsa cité Riadh . Le local fait 15 m². Référence : 8985A,0.007,positif,aucun,0,0,positif,
1497,"Description NEWKEY LAC 2 propose à la location une villa avec jardin située dans un quartier résidentiel paisible aux Berges du Lac1. Au rez de chaussée on trouve un salon spacieux bien lumineux qui donne sur un petit jardin, un séjour indépendant, une cuisine acessible directement de l'exterieur par la 2ème entrée, un séjour et une salle d'eau invités. L'étage abrite trois chambres à coucher et une salle de bain commune. La maison dispose d'un garage pour une voiture.",0.277,neutre_positif,absence_prix_bien_cher,0,0,neutre_positif,
2816,dar arbi au centre ville de soliman en bon état et elle est prés de marché et de station et des écoles il y a une grande salon et 2 grandes chambres et une cuisine bien équipées et une salle d'eau trés moderne à ne pas rater contacter mm leila.,0.321,neutre_positif,pression_achat,0,0,neutre_positif,
284,"Description L'agence immobilière Century 21 Karaouli vous propose à la location un local commercial sur deux niveaux à L'Aouina, sur une artère principale. Superficie totale : 150 m² Ce bien se compose de : -Open space au rez-de-chaussée -Open space à l'étage -Point d'eau Pour plus d'informations ou pour organiser une visite, n'hésitez pas à nous rappeler au 216 54 70 74 71 / 216 54 70 77 33.",0.042,positif,aucun,0,0,positif,
4567,"appartements s1,s2 et s3 haut standing meublés à louer pour courte durée dans un excellent emplacement à l'aouina résidence zayatine à proximité de monoprix elwahette , des cliniques, des commerces, des restaurants. très proche de la clinique sokra, hannibal. lac 2, sidi bousaid, carthage , marsa a 05 minutes de l'aéroport et 10 mn de centre ville. climatisés et chauffés. internet, et place parking sont à votre disposition. pour plus de renseignements, veuillez me contacter sur mobile et whatsapp: 51476914,",0.25,neutre_positif,absence_prix_bien_cher,0,0,neutre_positif,
104,"Description Frais d'enregistrement 1 (Directe Promoteur) Piscine collective et jardin (S 3 ): superficie allant de 140 m²à partir de 366 000 dt TTC (S 2 ): superficie allant de 130 m²à partir de 343 000 dt TTC Cet Appartement situé dans une petite résidence gardée et sécurisée bénéficie d'un luminosité naturelle Une finition soignée, des matériaux nobles et une architecture moderne. Adresse prestigieuse à Bouhsina Ascenseur Idéal pour Habitation ou investissement grâce à sa rentabilité locatif. Appelez nous pour le visiter gratuitement.Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615Whatsapp / Botim.Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614Whatsapp / Botim. Nos Adresses : Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390 Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544.",0.542,neutre_negatif,multiple_whatsapp|promesse_rentabilite|emojis_excessifs|contacts_multiples,16,0,neutre_negatif,
