property_id,source_name,sentiment_score,sentiment_label,zero_shot_fraud_score,linguistic_score,fraud_score,risk_level,fraud_flags,tabular_model_version,mistral_explanation
tunisieannonce_bf62490bab22,tunisieannonce,0.0,positive,0.3481,0.55,25.93,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_136985,affare,0.0,positive,0.368,0.3,20.38,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_164918,affare,0.0,positive,0.2996,0.55,24.24,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_226648,affare,0.0,positive,0.4138,0.3,21.98,suspect,['urgency_detected'],xlm_roberta_mdeberta_v1,
mubawab_8309582,mubawab,0.6269,negative,0.3972,0.35,47.73,suspect,"['description_too_short', 'information_incomplete']",xlm_roberta_mdeberta_v1,
affare_1700,affare,0.0759,neutral,0.4201,0.55,31.49,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_226855,affare,0.076,neutral,0.3345,0.55,28.5,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_237007,affare,0.0,positive,0.3041,0.55,24.39,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_2400,affare,0.3535,negative,0.4306,0.55,42.96,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_228981,affare,0.0,positive,0.3369,0.3,19.29,normal,['urgency_detected'],xlm_roberta_mdeberta_v1,
affare_239822,affare,0.0,positive,0.3622,0.55,26.43,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_2300,affare,0.2939,negative,0.3852,0.55,38.99,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1,
affare_235663,affare,0.3855,negative,0.4021,0.75,48.24,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1,
affare_236234,affare,0.0,positive,0.3981,0.2,18.93,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1,
affare_236238,affare,0.0,positive,0.3796,0.0,13.29,normal,[],xlm_roberta_mdeberta_v1,
