property_id,source_name,sentiment_score,sentiment_label,zero_shot_fraud_score,linguistic_score,fraud_score,risk_level,fraud_flags,tabular_model_version
affare_136985,affare,0.0,positive,0.2161,0.3,15.06,normal,['urgency_detected'],xlm_roberta_mdeberta_v1
affare_164918,affare,0.0,positive,0.2189,0.55,21.41,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1
affare_226648,affare,0.0,positive,0.2386,0.3,15.85,normal,['urgency_detected'],xlm_roberta_mdeberta_v1
mubawab_8309582,mubawab,0.6269,negative,0.2002,0.35,40.83,suspect,"['description_too_short', 'information_incomplete']",xlm_roberta_mdeberta_v1
affare_1700,affare,0.0759,neutral,0.225,0.55,24.66,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1
affare_226855,affare,0.076,neutral,0.2448,0.55,25.36,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1
affare_237007,affare,0.0,positive,0.1604,0.55,19.36,normal,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1
affare_2400,affare,0.3535,negative,0.2608,0.55,37.02,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1
affare_228981,affare,0.0,positive,0.2432,0.3,16.01,normal,['urgency_detected'],xlm_roberta_mdeberta_v1
affare_239822,affare,0.0,positive,0.2544,0.55,22.65,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1
affare_2300,affare,0.2939,negative,0.2209,0.55,33.24,suspect,"['urgency_detected', 'external_contact']",xlm_roberta_mdeberta_v1
affare_235663,affare,0.3855,negative,0.2799,0.75,43.97,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1
affare_236234,affare,0.0,positive,0.1862,0.2,11.52,normal,['no_images_suspicious'],xlm_roberta_mdeberta_v1
affare_236238,affare,0.0,positive,0.1945,0.0,6.81,normal,[],xlm_roberta_mdeberta_v1
affare_256718,affare,0.0,positive,0.1694,0.75,24.68,suspect,"['urgency_detected', 'external_contact', 'no_images_suspicious']",xlm_roberta_mdeberta_v1
affare_247788,affare,0.0898,neutral,0.2481,0.0,12.28,normal,[],xlm_roberta_mdeberta_v1
affare_246872,affare,0.0,positive,0.1985,0.0,6.95,normal,[],xlm_roberta_mdeberta_v1
affare_241047,affare,0.0,positive,0.2495,0.3,16.23,normal,['urgency_detected'],xlm_roberta_mdeberta_v1
affare_245971,affare,0.0,positive,0.1437,0.0,5.03,normal,[],xlm_roberta_mdeberta_v1
