id,description_clean,nb_emojis,emojis_list,nb_alert_emojis,nb_whatsapp,nb_phones,nb_suspect_kw,suspicion_score,label_manuel,notes
1905,"occasion à ne pas rater ! à vendre : lots de terrain pieds dans l'eau, situés entre dar allouch et el haouaria, dans une zone calme, naturelle, encore préservée et destinée à devenir un futur quartier haut standing de villas, avec une rue de 9 mètres de largeur idéal pour : un investissement rentable (projets touristiques, résidences secondaires, etc.) une habitation de rêve dans un quartier haut standing, face à la mer entre dar allouch et el haouaria, chraf plage différentes superficies disponibles emplacement exceptionnel avec accès direct à la plage accès facile, à proximité des commodités principales prix très raisonnable c'est une occasion à ne jamais rater ! terrains rares dans cette région paradisiaque.",10,🏝 🌅 ✅ 🌊 📏 📍 🛣 💰 💎,1,0,0,3,0.65,negatif,
78,"DescriptionÀ VENDRE En Exclusivité Localisation : Ennaser 2 , au 3ème étage ( double ascenseurs)d'une résidence sécurisée et calme. Description de l'appartement S 2 2 chambres à coucher. Salon lumineux ouvrant sur un balcon Cuisine bien équipée Salle de bain commune Les atouts Climatisation Split système et chauffage centrale Place de parking superficie : 122M2 Prix : 315MD légèrement négociable N.B : idéal pour un investissement : rapport locatif 1300 DT vide Contactez-nous : 24 657 657",21,🏡 ❌ ❗ 📍 🔹 ✅ 🛁 💡 ✔ ❄ 🔥 🚗 💰 ⛔ 📞,3,0,0,0,0.5,neutre_negatif,
12,"Descriptionune opportunité rare : un terrain constructible de 2400 m², idéalement situé à Jawhara, dans un quartier résidentiel calme et recherché Caractéristiques du terrain : Superficie : 2400 m² Terrain clôturé Autorisation : R 8 (construction immédiate) Titre bleu disponible Prix : 1000 DT / m² Prix total : 2 400 000 DT Idéal pour promoteurs immobiliers ou investisseurs cherchant un projet rentable Contactez-nous dès maintenant pour plus d'informations ou pour organiser une visite ( 216) 50 802 150 ( 216) 55 660 538 WhatsApp 216 55 660 538",15,🔥 🌳 🏡 🔹 📐 🚧 🏗 📜 💰 💵 📍 📈 📞 📱,3,1,0,0,0.5,neutre_negatif,
440,"Description À vendre Villa d'exception à Menzah 5 L'agence immobilière Century 21 vous propose une opportunité rare au cœur de Menzah 5, dans un quartier calme, résidentiel et très recherché. Cette spacieuse villa S 12, répartie sur plusieurs niveaux (R 1 avec 1er et 2ème étage), offre un énorme potentiel, idéale pour une grande famille, un investissement locatif ou un projet professionnel (bureaux, clinique, école privée ). Caractéristiques : 20 pièces au total 12 chambres à coucher 6 salles d'eau Parking en sous-sol Plusieurs niveaux indépendants Extérieur : Un grand jardin offrant la possibilité d'aménager une belle piscine et un espace de détente. Superficies : Terrain : 704 m² Bâti : 925 m² Les : Emplacement stratégique Quartier prisé Fort potentiel d'aménagement Idéal habitation ou investissement Une opportunité à ne pas manquer ! Pour toute information complémentaire ou pour planifier une visite, veuillez nous contacter : 53 269 467 / 99 483 349",12,🔥 ✨ 🌿 📐 📍 ✔ 💰 📞,3,0,0,0,0.5,neutre_positif,
160,Description Opportunité à Chatt Mariem IMMEUBLE À AVENDRE Tantana : Avendre (8) appartepent de type S 2 de Superficie 98 m² ( à 80m de la belle Plage Tantana Salon 2 Chambre à Coucher Cuisine équipé Salle d'Eau Avec salle de bain Place Parking devant l'immeuble Prix 1300.000 DT NÉGOCIABLE. . infos_ligne 55660538 / 28 657 936 / 50802150 WhatsApp 216 55 660 538 ChattMariem AppartementAVendre VueSurMer ImmobilierTunisie Sousse,13,🌊 💲 🏖 🌐 🔥 🚘 💵 💰 ☎ 👉,5,1,2,0,0.5,negatif ,
5492,"Description Frais d'enregistrement 1 (Directe Promoteur) Cette nouvelle résidence , entouré de verdure ainsi une grande piscine . Cet Appartement situé dans une résidence prés de la mer bénéficie d'un luminosité naturelle Une finition soignée, des matériaux nobles et une architecture moderne. Adresse prestigieuse à KANTAOUI Résidence, gardée et sécurisée. Ascenseur Idéal pour investissement grâce à sa rentabilité locatif Superficie : 67 m². Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",16,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
101,"Description Frais d'enregistrement 1 (Directe Promoteur) Cette nouvelle résidence , entouré de verdure ainsi une grande piscine . Cet Appartement situé dans une résidence prés de la mer bénéficie d'un luminosité naturelle Une finition soignée, des matériaux nobles et une architecture moderne. Adresse prestigieuse à KANTAOUI Résidence, gardée et sécurisée. Ascenseur Idéal pour investissement grâce à sa rentabilité locatif Superficie : 67 m². Appelez nous pour le visiter gratuitement.Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615Whatsapp / Botim.Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",16,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
158,"Description Frais d'enregistrement 1 (Directe Promoteur) cette nouvelle résidence , entouré de verdure ainsi une grande piscine . Cet Appartement situé dans une résidence prés de la mer bénéficie d'un luminosité naturelle une finition soignée, des matériaux nobles et une architecture moderne. Adresse prestigieuse à KANTAOUI Résidence, gardée et sécurisée. Ascenseur Idéal pour investissement grâce à sa rentabilité locatif Superficie : 133 m². Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544. Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390.",16,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
5502,"Description Terrain fait l'angle situé sur un axe principale de 20 mètre. Attestation de propriété individuel. Terrain est idéal pour une Promotion immobilière il dispose d'une vocation R 5 en cahier de charge, il est possible de bâtir un rez-de-chaussée et Cinq niveaux. Terrain d'une superficie 544 m². Autorisation de bâtir R 5 : un rez-de-chaussée commercial et cin niveaux bureautique et Habitation. Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 WhatsApp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 WhatsApp / Botim. Nos Adresses : Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390 Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544.",13,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
152,"Description Maison (S 4) style Américain bien entretenu Quartier résidentiel à Cité Riadh Attestation de propriété individuel Garage Terrasse Superficie couvert 230 m² Superficie terrain 128 m² Chambre de Services avec placard. Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390 Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544.",15,✅ 📱 🏠 ☎,0,2,4,0,0.45,neutre_negatif,
