property_id,source_name,region_norm,anomaly_score,is_anomaly,fraud_score,fraud_flags,regional_context,model_version
tunisieannonce_bf62490bab22,tunisieannonce,tunis,-0.3605,False,86.05,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
mubawab_8309582,mubawab,tunis,-0.4578,False,95.78,"[""no_images_high_price"", ""description_too_short""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_254124,affare,tunis,-0.405,False,90.5,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_afe994372718,tunisieannonce,tunis,-0.4494,False,94.94,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_a77853c45490,tunisieannonce,tunis,-0.3662,False,86.62,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_259199,affare,tunis,-0.4803,False,98.03,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_a594db9e20d5,tunisieannonce,tunis,-0.3929,False,89.29,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_258672,affare,tunis,-0.4428,False,94.28,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
century21_a1a09a825273,century21,tunis,-0.5218,False,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_259200,affare,tunis,-0.4337,False,93.37,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_0ff7ae1b5e1e,tunisieannonce,tunis,-0.405,False,90.5,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_259194,affare,tunis,-0.3694,False,86.94,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_259193,affare,tunis,-0.4877,False,98.77,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_0f72d51de091,tunisieannonce,tunis,-0.4153,False,91.53,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_0f34ccae32a6,tunisieannonce,tunis,-0.3456,False,84.56,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_259299,affare,tunis,-0.4512,False,95.12,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
mubawab_8323438,mubawab,tunis,-0.464,False,96.4,"[""no_images_high_price"", ""description_too_short""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_259307,affare,tunis,-0.3999,False,89.99,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_259425,affare,tunis,-0.4179,False,91.79,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
affare_259419,affare,tunis,-0.4671,False,96.71,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_43e4d8cddfd7,tunisieannonce,tunis,-0.4638,False,96.38,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b8abb6a805e1,tunisieannonce,tunis,-0.4786,False,97.86,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b81b9d8c8ba6,tunisieannonce,tunis,-0.3461,False,84.61,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b84cb4c3f4fb,tunisieannonce,tunis,-0.3714,False,87.14,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b88c8bf9ce17,tunisieannonce,tunis,-0.363,False,86.3,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b893c2e92139,tunisieannonce,tunis,-0.4124,False,91.24,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b84e2934cda6,tunisieannonce,tunis,-0.4098,False,90.98,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b9a30b7d42b1,tunisieannonce,tunis,-0.6001,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b91ee3b67881,tunisieannonce,tunis,-0.3546,False,85.46,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b93550753cf2,tunisieannonce,tunis,-0.358,False,85.8,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b949cbb58cb0,tunisieannonce,tunis,-0.4137,False,91.37,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b96792813927,tunisieannonce,tunis,-0.3529,False,85.29,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b9a3bab8143d,tunisieannonce,tunis,-0.3494,False,84.94,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b92e362ba16f,tunisieannonce,tunis,-0.4271,False,92.71,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b91e0636dc89,tunisieannonce,tunis,-0.5966,True,100.0,"[""rooms_surface_inconsistent""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_ba1b6ac3f7a7,tunisieannonce,tunis,-0.4107,False,91.07,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b9daf9c3a84c,tunisieannonce,tunis,-0.3938,False,89.38,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_ba2326f25f90,tunisieannonce,tunis,-0.4314,False,93.14,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b9ad3aed4f63,tunisieannonce,tunis,-0.4306,False,93.06,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b9b93dbde4fb,tunisieannonce,tunis,-0.3684,False,86.84,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b9a69916262b,tunisieannonce,tunis,-0.3533,False,85.33,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_b9c0cca6a6d0,tunisieannonce,tunis,-0.3546,False,85.46,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bae8f9e80dc3,tunisieannonce,tunis,-0.3667,False,86.67,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_ba2ed486b646,tunisieannonce,tunis,-0.4337,False,93.37,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_baf74652c7a0,tunisieannonce,tunis,-0.355,False,85.5,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_be647a409cd8,tunisieannonce,tunis,-0.4887,False,98.87,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_ba24549afa8f,tunisieannonce,tunis,-0.3715,False,87.15,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb08906b6e5f,tunisieannonce,tunis,-0.4133,False,91.33,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_baede9316909,tunisieannonce,tunis,-0.3547,False,85.47,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bae4cc19facb,tunisieannonce,tunis,-0.3639,False,86.39,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bfdb8c005f69,tunisieannonce,tunis,-0.4858,False,98.58,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb86f131a14c,tunisieannonce,tunis,-0.3445,False,84.45,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb37955c6db6,tunisieannonce,tunis,-0.3628,False,86.28,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb7774a57fb9,tunisieannonce,tunis,-0.3465,False,84.65,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb94af359273,tunisieannonce,tunis,-0.3578,False,85.78,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb0a01144f78,tunisieannonce,tunis,-0.4472,False,94.72,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb60ae92cc53,tunisieannonce,tunis,-0.4445,False,94.45,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb4f5c97bedb,tunisieannonce,tunis,-0.3689,False,86.89,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bb7cbf02a8c4,tunisieannonce,tunis,-0.3843,False,88.43,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bc685c9fdb76,tunisieannonce,tunis,-0.5608,True,100.0,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bccf783b8b4f,tunisieannonce,tunis,-0.3595,False,85.95,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bbd3f3d62188,tunisieannonce,tunis,-0.3715,False,87.15,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bbfaf4480f90,tunisieannonce,tunis,-0.4341,False,93.41,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bc2240795d60,tunisieannonce,tunis,-0.3635,False,86.35,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bbc24f0ba468,tunisieannonce,tunis,-0.4012,False,90.12,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bc9fa0218254,tunisieannonce,tunis,-0.3596,False,85.96,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bc176c1143ae,tunisieannonce,tunis,-0.3814,False,88.14,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bd6fced40db5,tunisieannonce,tunis,-0.3771,False,87.71,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bd880a7b7baa,tunisieannonce,tunis,-0.4427,False,94.27,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bdabf3d1438b,tunisieannonce,tunis,-0.4249,False,92.49,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bdb0ae4322f3,tunisieannonce,tunis,-0.4103,False,91.03,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bdc26f44286d,tunisieannonce,tunis,-0.5009,False,100.0,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bd7082879374,tunisieannonce,tunis,-0.3953,False,89.53,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_be4ec2cd6195,tunisieannonce,tunis,-0.4725,False,97.25,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bde39a53b63d,tunisieannonce,tunis,-0.4315,False,93.15,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_be6409751c52,tunisieannonce,tunis,-0.3587,False,85.87,[],"{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_be5f2a5504e4,tunisieannonce,tunis,-0.4741,False,97.41,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_bdc5bfd2276b,tunisieannonce,tunis,-0.3782,False,87.82,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
tunisieannonce_c249e4c94009,tunisieannonce,tunis,-0.3806,False,88.06,"[""no_images_high_price""]","{""region"": ""tunis"", ""n_trained"": 3655}",isolation_forest_v1
